模型,Off最终分,Off排名,On最终分,On排名,On减Off,逐维一致比例,逐维平均绝对差,逐题最终分Spearman
GPT-OSS-20B,4.556593839169935,4,4.579460211569584,5,0.022866372399649393,0.8645,0.14016666666666666,0.7622193875341724
Harmonic Step600,4.524553091865427,5,4.596954938028059,4,0.07240184616263168,0.8428333333333333,0.17566666666666667,0.7411089520550482
OPSD Step1192,4.602668474367365,3,4.633783106999254,3,0.03111463263188874,0.8708333333333333,0.14,0.7187399988669102
OPSD Step900,4.742450449125741,1,4.7295600346014295,1,-0.012890414524311389,0.8891666666666667,0.11633333333333333,0.5869933910476064
Qwen3.5-9B 原版,4.605378280773283,2,4.642239039405693,2,0.03686075863241012,0.8734999999999999,0.13166666666666668,0.7504266843364089
