模型,严格四维_均分,严格四维_调和分,平衡四维_均分,平衡四维_调和分
GPT-4o,,,4.615381518481518,4.592084063816263
GPT-OSS-20B,3.5589872962144242,3.490428129716185,4.542197764735264,4.514037304358385
Harmonic Step600,3.7244827215337857,3.6902750575651826,4.576758379120879,4.543911124434438
OPSD Step1192,3.7029674825174825,3.660516020640222,4.638527772227772,4.615177817877998
OPSD Step900,3.7546082292707292,3.7085160267027026,4.755769343156843,4.739950925894232
Qwen3.5-9B 原版,3.64947977022977,3.5891210241553537,4.626741933066933,4.605029745387664
