模型,十维通过题数,十维通过比例,十维归零均分,四维通过题数,四维通过比例,四维均分_逐题平均,四维调和分_逐题平均,最终分_原平衡协议OP4上限5,最终分_历史后处理OP4上限4.5,四维均分_先维度平均,四维调和分_先维度平均
GPT-OSS-20B,517,0.517,2.2331,917,0.917,4.3085741758241785,4.295635795062562,4.295635795062562,4.2935679217593945,4.311521096187176,4.308138450984137
Harmonic Step600,791,0.791,3.6311,877,0.877,4.177576923076929,4.168502601830893,4.168502601830894,4.158686969627357,4.180580375420023,4.179828776451094
OPSD Step1192,692,0.692,3.1885000000000003,923,0.923,4.386189560439556,4.375654882506155,4.375654882506155,4.370175244497103,4.38920209357561,4.387749961592484
OPSD Step900,758,0.758,3.4778999999999995,968,0.968,4.657530219780197,4.647439702287029,4.647439702287029,4.64465121940476,4.66076655076212,4.659371619803385
Qwen3.5-9B 原版,643,0.643,2.8193,953,0.953,4.4774478021977915,4.462333053272116,4.462333053272116,4.46111359625854,4.480580357580842,4.476882539753492
